Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,00437863011032785","0,00488071387060618","0,110586475666737",0,0,0,"25,5662855279903","0,0870860204401099","4,66820104436843E-05","-0,00156328344981155","0,277462313947464","-6,55386356774102E-05","0,287111653197617",0,0,0,0,0,0,package://NIXITO 2026.SLDASM/meshes/base_link.STL,"0,0823529411764706","0,0823529411764706","0,0823529411764706",1,0,0,0,0,0,0,package://NIXITO 2026.SLDASM/meshes/base_link.STL,,Cycloidal_arm-1/aditamento prueba_modificado-1;tapa  frente-1;Base brazo robotico-1;base_livox-2;mid-360-asm-3;cupula_assembly-1/cupula_frontal-1;tapa_cupula-2;cupula_assembly-1/cupula_trasera-1;intermedio_motores_cupula-2;cupula_arriba_atras-2;paro_emergencia_bloque-1;PERFIL ALTURA-2;base_perfil_cam-1;MG995-1/MG995.step-1/2025-08-31-19-46-07-139.step-1/2025-08-31-19-50-55-854.step-1;MG995-1/MG995.step-1/2025-08-31-19-46-07-139.step-1/2025-08-31-19-50-55-859.step-1/2025-08-31-19-50-55-859-0.step-1;base_pantilt-1;base_intermedia_pantilt-1;Case_GoPro_Hero_5_v2-1;Tampa_LCD_GoPro_Hero_5-1;tapa baterias2-2;pieza_tapa_bien-3;Escuadra 28x28x20-2;base bat-1;Escuadra 28x28x20-1;Placa Latera Izquieda-5;Placa base Nixito-4;Placa Lateran Derecha-1;cupula_abajo_trasera-1;Motorreductor Orugas-4;Motorreductor Orugas-3;Motorreductor Orugas 2-1;Motorreductor Orugas 2-2;Banda L-1;Banda L-2;sproketeborrar-7;sproketeborrar-8,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
dir_R_link,"-5,64265449815027E-06","1,63708517160466E-06","-0,0384132623661952",0,0,0,"1,3754826889591","0,00316961288572545","-1,56630451990999E-08","-7,12322524380198E-07","0,00316956344234396","2,06663820586351E-07","0,00491633292421438",0,0,0,0,0,0,package://NIXITO 2026.SLDASM/meshes/dir_R_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://NIXITO 2026.SLDASM/meshes/dir_R_link.STL,,Eje de motor-1;Brida_eje-1;sproketeborrar-6,Origin_dir_R_joint,Axis_dir_R_joint,dir_R_joint,continuous,"-0,29371","-0,22792","0,075","1,5708",0,0,base_link,0,0,1,100,100,,,,,,"0,1",,,,
dir_L_link,"-4,99717648289044E-06","3,08995548813085E-06","-0,0364132623661902",0,0,0,"1,3754826889591","0,00316960124072055","-2,61819263191363E-08","-6,30838089164463E-07","0,00316957508734887","3,90072581269323E-07","0,00491633292421439",0,0,0,0,0,0,package://NIXITO 2026.SLDASM/meshes/dir_L_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://NIXITO 2026.SLDASM/meshes/dir_L_link.STL,,Eje de motor-2;sproketeborrar-5;Brida_eje-3,Origin_dir_L_joint,Axis_dir_L_joint,dir_L_joint,continuous,"-0,29371","0,22608","0,075","1,5708",0,"3,1416",base_link,0,0,1,100,100,,,,,,"0,1",,,,
flipper_R_link,"0,10014361960493","1,01555862551256E-05","-0,00488199703848846",0,0,0,"0,875836999292697","0,000962299324912456","-2,50556230470828E-09","-7,65665235947313E-06","0,00851689142758344","8,58020499110178E-07","0,0085709150591796",0,0,0,0,0,0,package://NIXITO 2026.SLDASM/meshes/flipper_R_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://NIXITO 2026.SLDASM/meshes/flipper_R_link.STL,,Flipper nylamid-2;Brida-10;Brida-9;coldroll para flippers-1,Origin_flipper_R_joint,Axis_flipper_R_joint,flipper_R_joint,continuous,"0,26929","-0,26547","0,075","-1,5708","-0,050021","3,1416",base_link,0,0,1,100,100,,,,,,"0,1",,,,
flipper_L_link,"0,00238935305921779","-0,100126505199991","0,240800885856043",0,0,0,"0,875836999292697","0,00851256923866617","0,000180193083284295","1,8031713726932E-07","0,000966621513829713","-8,41930116924885E-06","0,00857091505917959",0,0,0,0,0,0,package://NIXITO 2026.SLDASM/meshes/flipper_L_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://NIXITO 2026.SLDASM/meshes/flipper_L_link.STL,,coldroll para flippers-2;Brida-13;Brida-14;Flipper nylamid-4,Origin_flipper_L_joint,Axis_flipper_L_joint,flipper_L_joint,continuous,"0,26929","0,020085","0,075","-1,5708","-1,5446",0,base_link,0,0,1,100,100,,,,,,"0,1",,,,
Hombro_link,"0,000329220499828003","0,00386263654781993","0,0272367282663454",0,0,0,"0,101386819832072","0,000131260455190187","1,14653159950188E-06","-5,19436298812016E-07","0,00011295516987088","-1,36136929698582E-05","9,02372535296635E-05",0,0,0,0,0,0,package://NIXITO 2026.SLDASM/meshes/Hombro_link.STL,"0,909803921568627","0,443137254901961","0,0313725490196078",1,0,0,0,0,0,0,package://NIXITO 2026.SLDASM/meshes/Hombro_link.STL,,Cycloidal_arm-1/Tapa trasera 1-1;Cycloidal_arm-1/Base-Hombro-1,Origin_Hombro_joint,,Hombro_joint,continuous,"0,25649","-0,070909","0,24936",0,0,0,base_link,0,0,1,100,100,0,0,,,,"0,1",,,,
E1_link,"-5,97803541966951E-05","0,0840247601562089","0,0130180348999693",0,0,0,"0,192290389959318","0,000566355912897058","-2,9126267212515E-09","5,11953924486943E-10","7,61514048875042E-05","-1,41627060807744E-06","0,000596781058948479",0,0,0,0,0,0,package://NIXITO 2026.SLDASM/meshes/E1_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://NIXITO 2026.SLDASM/meshes/E1_link.STL,,Cycloidal_arm-1/E1-1;Cycloidal_arm-1/Tapa trasera 2-1;Cycloidal_arm-1/Tapa eslabon 1-1;Cycloidal_arm-1/Tapa sensor 2-1,Origin_E1_joint,,E1_joint,continuous,0,"0,039994","0,043491","1,5708",0,"3,1416",Hombro_link,0,0,1,100,100,,,,,,"0,1",,,,
E2_link,"1,29229049467133E-05","0,0803343269372555","0,00131136435295082",0,0,0,"0,135201035415251","0,000316772469867071","-1,15600964123082E-07","7,67028277549168E-09","5,41327489366859E-05","-1,27830667660268E-06","0,000340633230607744",0,0,0,0,0,0,package://NIXITO 2026.SLDASM/meshes/E2_link.STL,"0,909803921568627","0,443137254901961","0,0313725490196078",1,0,0,0,0,0,0,package://NIXITO 2026.SLDASM/meshes/E2_link.STL,,Cycloidal_arm-1/Tapa eslabon 2.0-1;Cycloidal_arm-1/Tapa sensor E2-1;Cycloidal_arm-1/E2-2;Cycloidal_arm-1/Tapa trasera-1,Origin_E2_joint,,E2_joint,continuous,0,"0,15071","-0,023865","3,1416",0,"3,1416",E1_link,0,0,1,100,100,,,,,,"0,1",,,,
E3_link,"0,0390723877633097","0,00588082672902912","0,0105723183138784",0,0,0,"0,0998628576612143","4,80345624492912E-05","-1,06378505581651E-05","1,41195084359271E-06","7,76267111046649E-05","3,82828489061288E-07","9,11815154704042E-05",0,0,0,0,0,0,package://NIXITO 2026.SLDASM/meshes/E3_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://NIXITO 2026.SLDASM/meshes/E3_link.STL,,Cycloidal_arm-1/E3-1;Cycloidal_arm-1/Tapa sensor E2-2;Cycloidal_arm-1/Servo Horns-2;Cycloidal_arm-1/estabilizador gripper-1;Cycloidal_arm-1/MG996R Servo Motor-1/Case-1,Origin_E3_joint,,E3_joint,continuous,0,"0,13629","-0,023865","-3,1416",0,"1,5708",E2_link,0,0,1,100,100,,,,,,"0,1",,,,
gripper_link,"-0,00049595","-0,0036162","-0,0030286",0,0,0,"0,053209","1,1716E-05","-1,1243E-08","-7,084E-08","1,9136E-05","9,1596E-07","9,5435E-06",0,0,0,0,0,0,package://NIXITO 2026.SLDASM/meshes/gripper_link.STL,"0,78039","0,76078","0,74118",1,0,0,0,0,0,0,package://NIXITO 2026.SLDASM/meshes/gripper_link.STL,,Cycloidal_arm-1/robot-gripper-1/base-plate-1;Cycloidal_arm-1/base-gear-1;Cycloidal_arm-1/MG996R Servo Motor-3/Rubber Wire Cable Sleeve-1;Cycloidal_arm-1/MG996R Servo Motor-3/Case-1;Cycloidal_arm-1/gear-link-2-1;Cycloidal_arm-1/robot-gripper-1/gear-link-1-1;Cycloidal_arm-1/robot-gripper-1/link-4;Cycloidal_arm-1/robot-gripper-1/link-6;Cycloidal_arm-1/gripper XL-1;Cycloidal_arm-1/robot-gripper-1/gripper-2;Cycloidal_arm-1/robot-gripper-1/link-1;Cycloidal_arm-1/robot-gripper-1/link-2;Cycloidal_arm-1/robot-gripper-1/link-7;Cycloidal_arm-1/link-1;Cycloidal_arm-1/Servo Horns-1,Origin_gripper_joint,,gripper_joint,continuous,"0,13835","0,0045","0,01815","3,1416","1,5708",0,E3_link,0,0,1,100,100,,,,,,"0,1",,,,
